罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,被害者の年齢,被害者の職業,施錠関係
窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,新宿１丁目,2022-02-10,08,その他,駐車（輪）場,50歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,新宿１丁目,2022-03-22,20,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,新宿１丁目,2022-11-06,18,４階建て以上共同住宅,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,新宿２丁目,2022-03-01,21,４階建て以上共同住宅,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,新宿２丁目,2022-04-07,09,その他,その他,40歳代,その他,施錠した
窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,新宿２丁目,2022-07-03,00,道路上,その他,40歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,新宿２丁目,2022-07-17,21,駐車（輪）場,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,新宿２丁目,2022-09-02,05,その他,その他,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,新田町,2022-02-13,17,４階建て以上共同住宅,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,新田町,2022-02-15,00,一戸建住宅,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,新田町,2022-06-05,17,４階建て以上共同住宅,駐車（輪）場,10歳代,大学生,施錠した
窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,神明町,2022-01-25,07,４階建て以上共同住宅,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,神明町,2022-03-21,14,４階建て以上共同住宅,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,神明町,2022-07-15,18,４階建て以上共同住宅,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,神明町,2022-07-22,21,４階建て以上共同住宅,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,神明町,2022-09-02,19,４階建て以上共同住宅,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,問屋町,2022-12-08,18,４階建て以上共同住宅,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2021-12-30,17,その他,その他,20歳代,大学生,施錠した
窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022-01-04,11,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022-01-28,19,その他,その他,30歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022-02-02,12,その他,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022-03-09,19,道路上,その他,40歳代,その他,施錠した
窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022-05-20,14,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022-06-07,18,その他,その他,40歳代,その他,施錠した
窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022-08-28,16,駐車（輪）場,駐車（輪）場,10歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022-10-10,20,道路上,その他,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022-11-09,20,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2022-10-02,18,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,本千葉町,2022-01-25,12,その他,その他,30歳代,その他,施錠した
窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,本千葉町,2022-04-21,16,その他,その他,50歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,本千葉町,2022-05-10,07,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,本千葉町,2022-08-17,06,駐車（輪）場,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,本千葉町,2022-09-22,18,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉公園前交番,121011,千葉県,千葉市中央区,椿森１丁目,2022-03-17,07,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,千葉中央,千葉公園前交番,121011,千葉県,千葉市中央区,椿森１丁目,2022-07-25,08,道路上,その他,40歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉公園前交番,121011,千葉県,千葉市中央区,椿森１丁目,2022-10-08,17,４階建て以上共同住宅,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉公園前交番,121011,千葉県,千葉市中央区,椿森１丁目,2022-10-25,07,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,千葉中央,千葉公園前交番,121011,千葉県,千葉市中央区,椿森３丁目,2022-10-13,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉公園前交番,121011,千葉県,千葉市中央区,椿森５丁目,2022-09-24,20,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉公園前交番,121011,千葉県,千葉市中央区,東千葉３丁目,2022-10-10,18,道路上,その他,30歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉公園前交番,121011,千葉県,千葉市中央区,弁天３丁目,2021-12-30,12,一戸建住宅,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉公園前交番,121011,千葉県,千葉市中央区,弁天３丁目,2022-10-31,08,一戸建住宅,その他,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉公園前交番,121011,千葉県,千葉市中央区,弁天４丁目,2022-03-31,22,４階建て以上共同住宅,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉公園前交番,121011,千葉県,千葉市中央区,弁天４丁目,2022-05-07,22,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,千葉中央,千葉公園前交番,121011,千葉県,千葉市中央区,弁天４丁目,2022-07-08,23,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉公園前交番,121011,千葉県,千葉市中央区,弁天４丁目,2022-12-06,12,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,青葉町,2022-05-08,22,その他,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,青葉町,2022-09-27,05,４階建て以上共同住宅,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,青葉町,2022-09-27,23,４階建て以上共同住宅,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,青葉町,2022-11-07,20,４階建て以上共同住宅,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,青葉町,2022-11-25,12,その他,その他,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,青葉町,2022-12-16,09,一戸建住宅,駐車（輪）場,70歳以上,その他,施錠した
