罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,被害者の年齢,被害者の職業,施錠関係
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,稲荷町１丁目,2022-10-30,15,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,稲荷町２丁目,2022-06-25,18,一戸建住宅,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,末広３丁目,2022-03-16,17,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,末広３丁目,2022-06-05,17,４階建て以上共同住宅,駐車（輪）場,10歳未満,小学生,施錠した
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,末広３丁目,2022-07-30,01,駐車（輪）場,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,末広４丁目,2022-08-29,20,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,末広４丁目,2022-10-31,21,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,千葉寺町,2022-01-31,13,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,千葉寺町,2022-04-02,08,道路上,その他,10歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,千葉寺町,2022-09-16,18,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,千葉寺町,2022-10-10,14,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,千葉寺町,2022-10-30,08,その他,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,千葉寺町,2022-11-17,12,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,千葉寺町,2022-12-19,00,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新千葉１丁目,2022-04-12,13,道路上,その他,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新千葉１丁目,2022-04-26,17,道路上,その他,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新千葉１丁目,2022-06-19,17,その他,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新千葉１丁目,2022-08-19,07,その他,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新千葉１丁目,2022-10-15,19,道路上,その他,10歳代,高校生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新千葉１丁目,2022-10-18,12,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新千葉１丁目,2022-10-23,17,４階建て以上共同住宅,その他,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新千葉１丁目,2022-10-29,09,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新町,2022-05-21,09,道路上,その他,10歳代,大学生,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新町,2022-08-03,19,その他,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新町,2022-08-23,10,道路上,その他,10歳代,高校生,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新町,2022-08-26,13,その他,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新町,2022-09-04,18,道路上,その他,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新町,2022-10-01,18,その他,駐車（輪）場,10歳代,大学生,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新町,2022-11-07,19,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新町,2022-11-21,21,４階建て以上共同住宅,その他,10歳代,高校生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新町,2022-12-01,15,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,千葉寺町,2022-12-16,15,４階建て以上共同住宅,駐車（輪）場,70歳以上,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見１丁目,2022-01-30,02,道路上,その他,50歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見１丁目,2022-02-25,19,駐車（輪）場,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見１丁目,2022-04-17,08,道路上,その他,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見１丁目,2022-05-23,07,駐車（輪）場,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見１丁目,2022-06-16,12,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見１丁目,2022-07-18,18,道路上,その他,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見１丁目,2022-08-18,06,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見１丁目,2022-10-30,16,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2021-12-25,19,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022-03-05,20,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022-03-19,16,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022-05-04,20,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022-06-27,09,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022-07-13,21,道路上,その他,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022-07-21,17,その他,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022-09-21,21,道路上,その他,20歳代,大学生,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022-10-21,21,道路上,その他,10歳代,中学生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022-10-26,22,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022-11-06,21,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022-11-11,06,駐車（輪）場,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022-12-01,17,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022-12-10,18,道路上,その他,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022-12-13,17,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022-12-19,12,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022-12-23,15,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2022-01-06,12,駐車（輪）場,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2022-02-17,18,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2022-04-09,16,駐車（輪）場,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2022-04-10,16,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2022-06-08,06,駐車（輪）場,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2022-06-08,18,その他の住宅（３階建て以下共同住宅等）,その他,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2022-06-14,21,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2022-06-16,06,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2022-07-31,09,その他,その他,10歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2022-08-25,12,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2022-09-01,16,４階建て以上共同住宅,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2022-09-03,10,その他,その他,20歳代,大学生,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2022-09-09,06,駐車（輪）場,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2022-09-28,09,駐車（輪）場,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2022-09-29,07,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2022-09-30,22,道路上,その他,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2022-10-01,17,その他の住宅（３階建て以下共同住宅等）,その他,70歳以上,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2022-10-04,07,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2022-10-06,18,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2022-10-19,22,道路上,その他,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2022-10-23,19,道路上,その他,40歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2022-12-01,09,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天２丁目,2022-02-17,15,駐車（輪）場,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天２丁目,2022-05-07,16,駐車（輪）場,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天２丁目,2022-05-28,16,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天２丁目,2022-07-07,09,駐車（輪）場,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天２丁目,2022-08-11,08,駐車（輪）場,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天２丁目,2022-08-30,06,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天２丁目,2022-09-12,13,駐車（輪）場,駐車（輪）場,60-64歳,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天２丁目,2022-09-25,11,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天２丁目,2022-10-26,07,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天２丁目,2022-11-08,20,駐車（輪）場,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天２丁目,2022-12-01,07,駐車（輪）場,駐車（輪）場,10歳代,中学生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天２丁目,2022-12-16,11,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,星久喜交番,121011,千葉県,千葉市中央区,川戸町,2022-01-14,11,道路上,その他,30歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,星久喜交番,121011,千葉県,千葉市中央区,仁戸名町,2022-08-09,23,道路上,その他,60-64歳,その他,施錠せず
窃盗,自転車盗,千葉中央,星久喜交番,121011,千葉県,千葉市中央区,仁戸名町,2022-09-19,23,道路上,その他,10歳代,高校生,施錠せず
窃盗,自転車盗,千葉中央,星久喜交番,121011,千葉県,千葉市中央区,星久喜町,2022-08-21,18,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,本千葉駅前交番,121011,千葉県,千葉市中央区,亥鼻３丁目,2022-04-20,19,４階建て以上共同住宅,その他,10歳代,中学生,施錠せず
窃盗,自転車盗,千葉中央,本千葉駅前交番,121011,千葉県,千葉市中央区,亥鼻３丁目,2022-06-18,13,一戸建住宅,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,本千葉駅前交番,121011,千葉県,千葉市中央区,葛城１丁目,2022-05-23,18,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,本千葉駅前交番,121011,千葉県,千葉市中央区,葛城２丁目,2022-09-01,09,その他の住宅（３階建て以下共同住宅等）,その他,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,本千葉駅前交番,121011,千葉県,千葉市中央区,葛城３丁目,2022-05-15,20,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,30歳代,大学生,施錠した
